SEXO;EDAD;HORA HECHO;FECHA HECHO;FECHA FALL.;CONDICION
Masculino;55;4:10;4/12/2016;4/12/2016;Conductor
Masculino;66;22:15;4/12/2016;7/12/2016;Peatón
Masculino;72;13:10;12/11/2016;7/12/2016;Peatón
Masculino;62;10:10;12/12/2016;12/12/2016;Peatón
Femenino;69;14:20;14/10/2016;13/12/2016;Peatón
Masculino;53;1:38;12/12/2016;14/12/2016;Motociclista
Masculino;44;19:00;16/12/2016;16/12/2016;Motociclista
Masculino;55;7:20;16/12/2016;16/12/2016;Motociclista
Masculino;29;5:00;17/12/2016;17/12/2016;Parrillero
Masculino;70;13:00;17/12/2016;17/12/2016;Ciclista
Masculino;34;19:55;17/12/2016;17/12/2016;Motociclista
Femenino;35;23:20;17/12/2016;18/12/2016;Jinete
Masculino;46;6:10;19/12/2016;19/12/2016;Peatón
Masculino;.;11:50;21/12/2016;21/12/2016;Peatón
Masculino;21;20:40;22/12/2016;22/12/2016;Motociclista
Masculino;28;19:20;18/12/2016;22/12/2016;Conductor
Masculino;25;13:30;23/12/2016;23/12/2016;Motociclista
Masculino;22;5:20;23/12/2016;23/12/2016;Motociclista
Masculino;21;.;23/12/2016;23/12/2016;Motociclista
Masculino;56;23:26;26/12/2016;26/12/2016;Motociclista
Masculino;77;6:10;16/11/2016;26/12/2016;Peatón
Masculino;59;18:52;24/12/2016;27/12/2016;Peatón
Masculino;22;1:45;1/01/2017;1/01/2017;Motociclista
Femenino;65;.;31/12/2016;1/01/2017;Peatón
Masculino;27;6:20;2/01/2017;2/01/2017;Motociclista
Masculino;28;11:58;1/01/2017;2/01/2017;Motociclista
Masculino;48;0:20;18/12/2016;3/01/2017;Peatón
Femenino;73;15:40;6/01/2017;6/01/2017;Peatón
Masculino;77;20:20;25/12/2016;6/01/2017;Peatón
Masculino;23;3:30;8/01/2017;9/01/2017;Sin dato
Femenino;45;7:40;11/01/2017;11/01/2017;Peatón
Masculino;70;19:30;7/01/2017;11/01/2017;Peatón
Masculino;50;4:30;3/12/2016;13/01/2017;Peatón
Masculino;45;4:20;14/01/2017;14/01/2017;Motociclista
Masculino;66;21:30;5/01/2017;15/01/2017;Peatón
Masculino;30;11:40;18/01/2017;18/01/2017;Motociclista
Masculino;46;.;14/01/2017;18/01/2017;Motociclista
Femenino;78;11:40;20/01/2017;20/01/2017;Peatón
Masculino;.;5:05;22/01/2017;22/01/2017;Peatón
Masculino;13;3:00;22/01/2017;22/01/2017;Peatón
Masculino;66;19:55;23/01/2017;23/01/2017;Peatón
Masculino;26;23:22;24/01/2017;24/01/2017;Motociclista
Femenino;72;8:50;25/01/2017;25/01/2017;Peatón
Femenino;59;17:30;15/01/2017;28/01/2017;Pasajero de Auto
Masculino;61;10:00;29/01/2017;31/01/2017;Motociclista
Masculino;52;5:40;23/01/2017;2/02/2017;Peatón
Masculino;.;9:00;3/02/2017;3/02/2017;Peatón
Masculino;40;6:00;3/02/2017;3/02/2017;Motociclista
Masculino;22;20:00;24/01/2017;4/02/2017;Motociclista
Masculino;54;14:00;5/02/2017;5/02/2017;Motociclista
Masculino;57;17:50;6/02/2017;6/02/2017;Motociclista
Masculino;69;14:20;6/02/2017;6/02/2017;Peatón
Masculino;25;3:30;5/02/2017;7/02/2017;Motociclista
Femenino;56;.;8/02/2017;8/02/2017;Sin dato
Masculino;61;7:30;7/02/2017;8/02/2017;Ciclista
Masculino;67;7:40;15/01/2017;8/02/2017;Peatón
Masculino;50;11:05;10/02/2017;10/02/2017;Motociclista
Masculino;18;10:15;10/02/2017;10/02/2017;Motociclista
Masculino;87;13:20;2/02/2017;10/02/2017;Conductor
Masculino;13;19:45;10/02/2017;11/02/2017;Ciclista
Masculino;77;18:30;12/02/2017;12/02/2017;Peatón
Masculino;30;19:10;19/02/2017;19/02/2017;Motociclista
Masculino;42;23:00;12/02/2017;22/02/2017;Motociclista
Masculino;24;21:10;23/02/2017;23/02/2017;Motociclista
Masculino;60;18:00;15/02/2017;23/02/2017;Motociclista
Masculino;17;21:50;24/02/2017;24/02/2017;Motociclista
Femenino;72;21:10;24/02/2017;24/02/2017;Peatón
Femenino;19;21:00;24/01/2017;27/02/2017;Parrillero
Masculino;59;22:00;27/02/2017;28/02/2017;Ciclista
Masculino;53;8:10;27/02/2017;28/02/2017;Peatón
Masculino;78;8:05;21/02/2017;1/03/2017;Peatón
Masculino;71;9:25;28/02/2017;2/03/2017;Peatón
Masculino;25;.;26/02/2017;2/03/2017;Peatón
Femenino;30;23:55;4/03/2017;4/03/2017;Pasajero de Auto
Masculino;51;21:50;5/03/2017;5/03/2017;Peatón
Masculino;13;23:55;4/03/2017;5/03/2017;Pasajero de Auto
Masculino;20;0:05;6/03/2017;6/03/2017;Motociclista
Masculino;27;11:15;6/03/2017;6/03/2017;Motociclista
Masculino;78;16:00;6/03/2017;6/03/2017;Peatón
Masculino;42;21:45;7/03/2017;7/03/2017;Motociclista
Femenino;37;14:38;8/03/2017;8/03/2017;Motociclista
Femenino;64;6:55;8/03/2017;8/03/2017;Peatón
Masculino;11;14:38;8/03/2017;9/03/2017;Parrillero
Masculino;71;0:05;2/01/2017;9/03/2017;Motociclista
Masculino;43;21:30;9/03/2017;10/03/2017;Motociclista
Femenino;61;0:30;11/03/2017;11/03/2017;Peatón
Masculino;41;21:30;26/02/2017;11/03/2017;Sin dato
Masculino;16;23:24;12/03/2017;12/03/2017;Motociclista
Masculino;68;17:10;13/03/2017;13/03/2017;Motociclista
Masculino;38;22:50;13/03/2017;13/03/2017;Motociclista
Femenino;20;23:24;12/03/2017;13/03/2017;Parrillero
Masculino;56;10:25;14/03/2017;14/03/2017;Ciclista
Masculino;23;14:15;13/03/2017;14/03/2017;Motociclista
Femenino;76;19:40;12/03/2017;14/03/2017;Peatón
Masculino;45;3:45;5/03/2017;15/03/2017;Motociclista
Masculino;.;23:30;17/03/2017;17/03/2017;Motociclista
Masculino;23;18:32;16/03/2017;17/03/2017;Motociclista
Masculino;18;23:30;17/02/2017;17/03/2017;Motociclista
Masculino;57;22:00;10/03/2017;19/03/2017;Ciclista
Masculino;57;18:30;18/03/2017;22/03/2017;Peatón
Femenino;78;16:30;16/03/2017;25/03/2017;Peatón
Masculino;22;23:35;25/03/2017;26/03/2017;Ciclista
Masculino;24;7:30;23/03/2017;26/03/2017;Peatón
Masculino;24;8:45;27/03/2017;27/03/2017;Motociclista
Masculino;48;2:40;19/03/2017;28/03/2017;Motociclista
Masculino;.;23:40;31/03/2017;1/04/2017;Peatón
Masculino;72;8:15;4/04/2017;4/04/2017;Peatón
Masculino;38;9:24;4/04/2017;5/04/2017;Motociclista
Masculino;20;1:30;2/04/2017;6/04/2017;Motociclista
Masculino;19;16:00;25/03/2017;7/04/2017;Motociclista
Masculino;48;19:00;8/04/2018;8/04/2017;Motociclista
Femenino;27;10:10;9/04/2017;9/04/2017;Motociclista
Masculino;47;10:45;11/04/2017;11/04/2017;Motociclista
Femenino;52;19:35;11/04/2017;11/04/2017;Peatón
Masculino;38;9:30;22/04/2017;22/04/2017;Peatón
Masculino;35;22:10;21/04/2017;22/04/2017;Motociclista
Masculino;80;19:50;7/12/2016;23/04/2017;Peatón
Masculino;73;12:47;24/04/2017;24/04/2017;Motociclista
Masculino;22;20:50;23/04/2017;24/04/2017;Motociclista
Masculino;53;20:15;23/04/2017;24/04/2017;Ciclista
Masculino;68;8:11;30/04/2017;30/04/2017;Peatón
Masculino;24;6:30;1/05/2017;1/05/2017;Motociclista
Masculino;38;15:10;2/05/2017;2/05/2017;Motociclista
Masculino;69;19:00;10/04/2017;5/05/2017;Peatón
Masculino;65;16:00;5/05/2017;6/05/2017;Ciclista
Masculino;40;17:00;6/04/2017;6/05/2017;Ciclista
Masculino;29;7:30;8/05/2017;8/05/2017;Motociclista
Femenino;56;18:30;8/05/2017;8/05/2017;Peatón
Masculino;30;3:00;9/05/2017;9/05/2017;Motociclista
Masculino;16;17:20;5/05/2017;10/05/2017;Motociclista
Masculino;82;17:30;10/05/2017;11/05/2017;Peatón
Masculino;70;9:55;8/05/2017;13/05/2017;Peatón
Masculino;35;7:15;4/05/2017;13/05/2017;Motociclista
Femenino;17;1:40;14/05/2017;14/05/2017;Peatón
Femenino;19;22:50;13/05/2017;14/05/2017;Motociclista
Femenino;39;19:00;9/05/2017;14/05/2017;Motociclista
Masculino;58;17:20;15/05/2017;15/05/2017;Motociclista
Masculino;36;18:50;30/03/2017;15/05/2017;Peatón
Masculino;73;18:10;18/05/2017;18/05/2017;Peatón
Masculino;60;17:30;19/05/2017;19/05/2017;Peatón
Masculino;81;18:50;20/05/2017;20/05/2017;Peatón
Femenino;68;11:00;10/05/2017;21/05/2017;Peatón
Masculino;82;12:20;21/02/2017;21/05/2017;Peatón
Masculino;45;20:40;10/05/2017;22/05/2017;Peatón
Masculino;48;7:00;23/05/2017;23/05/2017;Motociclista
Masculino;18;21:00;20/05/2017;23/05/2017;Motociclista
Masculino;83;14:00;23/05/2017;24/05/2017;Peatón
Masculino;45;0:50;25/05/2017;25/05/2017;Peatón
Masculino;54;16:40;19/05/2017;25/05/2017;Ciclista
Masculino;81;20:40;19/05/2017;26/05/2017;Peatón
Masculino;84;12:15;27/05/2017;27/05/2017;Ciclista
Masculino;52;.;27/05/2017;27/05/2017;Peatón
Masculino;58;9:05;27/05/2017;27/05/2017;Ciclista
Masculino;75;11:30;30/05/2017;29/05/2017;Peatón
Femenino;49;20:30;27/05/2017;29/05/2017;Parrillero
Masculino;62;19:30;30/05/2017;30/05/2017;Peatón
Femenino;52;7:18;29/05/2017;31/05/2017;Peatón
